objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
70,Land,State,HKG,CHN,"Hong Kong, SAR CHINA","Hong Kong, SAR CHINA",1320305951,920620.2788,1095.233675,0.000723429,0.371798359,0.627478212,0.13808522,0.040503359,0.821411421,NA,0.206223669,0.655691788,0.000722752,0.137361791
71,Land,State,MAC,CHN,"Macau, SAR CHINA","Macau, SAR CHINA",34266116.28,58944.83602,34.10652915,0.162736266,NA,0.837263734,0.092989648,NA,0.907010352,0.069746618,NA,0.930253382,NA,NA
72,EEZ,200NM,TWN,CHN,"Taiwan, Province of China","Taiwan, Province of China",4.12923E+11,5838084.446,355080.7144,0.974835906,0.008165107,0.016998987,0.981485659,0.001277467,0.017236874,0.001548024,2.85856222774307e-05,0.990223392,2.22056302621502e-06,0.008197777
73,Land,Special Region or Province,TWN,CHN,"Taiwan, Province of China","Taiwan, Province of China",43611677303,2604421.92,36396.53643,0.521074653,0.142276077,0.33664927,0.57270739,0.27697007,0.150322541,0.196431233,0.00184439,0.52070759,0.032952817,0.24806397
74,EEZ,Overlapping claim,CHN; PHL; VNM; TWN; MYS,CHN; PHL; VNM; TWN; MYS,Not Applicable,Not Applicable,3.60406E+11,3546023.143,339622.7592,0.996572625,0.000242177,0.003185199,0.996373156,0.000315661,0.003311183,0.000604087,2.4678636757224e-06,0.998986357,2.46857127896597e-06,0.000404619
75,EEZ,200NM,CIV,CIV,Not Applicable,Not Applicable,1.73546E+11,3282954.33,171862.3015,0.990313164,0.002330551,0.007356285,0.988473412,0.009832112,0.001694475,0.008200628,4.95861226665869e-06,0.985433537,NA,0.006360877
76,Land,State,CIV,CIV,Côte d'Ivoire,Côte d'Ivoire,3.28817E+11,5165771.233,320703.4646,0.606786852,0.052404313,0.340808835,0.881444882,0.037443772,0.081111346,0.027352357,0.000169362,0.663284988,0.007182906,0.302010387
77,EEZ,200NM,CMR,CMR,Not Applicable,Not Applicable,15301501168,3133060.353,15228.34164,0.861945114,0.002744593,0.135310292,0.844841868,0.000111997,0.155046135,0.098903283,0.000616292,0.818680389,NA,0.081800036
78,Land,State,CMR,CMR,Cameroon,Cameroon,4.74099E+11,7538132.348,465255.6386,0.378035449,0.007549921,0.61441463,0.838886954,0.028599942,0.132513104,0.007267062,8.4005707754918e-05,0.502431096,0.02209927,0.468118566
79,EEZ,200NM,COD,COD,Not Applicable,Not Applicable,13620075118,1570671.936,13396.47182,0.984129936,0.004507712,0.011362351,0.993525841,0.000952523,0.005521635,0.001650209,NA,0.98692259,0.000381086,0.011046114
80,Land,State,COD,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,2.36428E+12,10987684.4,2329017.607,0.334340895,0.033218736,0.632440369,0.850355271,0.076462357,0.073182372,0.006104413,0.000202204,0.40170833,0.069866263,0.52211879
81,EEZ,200NM,COG,COG,Not Applicable,Not Applicable,34330135986,1174348.834,33757.90324,0.802168104,0.000858062,0.196973834,0.961638041,0.001388578,0.036973381,0.000176661,NA,0.838939629,0.001237112,0.159646598
82,Land,State,COG,COG,Congo,Congo,3.44635E+11,4823330.547,341676.2484,0.181135805,0.046350418,0.772513778,0.774834613,0.093669943,0.131495445,0.000189948,2.24980080847419e-05,0.313641276,0.092257523,0.593888755
83,EEZ,200NM,COL,COL,Not Applicable,Not Applicable,7.37825E+11,14268256.99,711260.4836,0.808804222,0.018993043,0.172202734,0.90492204,0.067835721,0.027242239,0.010339924,0.000345187,0.840138927,0.042718221,0.106457742
84,Land,State,COL,COL,Colombia,Colombia,1.15307E+12,14591997.58,1136284.086,0.274054571,0.06380334,0.662142089,0.51347806,0.317584193,0.168937748,0.041850296,0.000636709,0.421997586,0.254241623,0.281273786
85,EEZ,Overlapping claim,COL; DOM; VEN,COL; DOM; VEN,Not Applicable,Not Applicable,931016128.5,284013.175,862.5633771,0.908027024,NA,0.091972976,1,NA,NA,NA,NA,0.908027024,NA,0.091972976
86,EEZ,200NM,COM,COM,Not Applicable,Not Applicable,1.7236E+11,2204581.536,164517.2496,0.815276247,NA,0.184723753,0.966948488,0.000957588,0.032093923,0.012209606,NA,0.822950959,0.000957588,0.163881847
87,Land,State,COM,COM,Comoros,Comoros,1757711216,455532.3194,1661.254401,NA,0.133332868,0.866667132,0.355722287,0.087683569,0.556594144,NA,0.039746857,0.516847287,0.087683569,0.355722287
88,EEZ,200NM,CPV,CPV,Not Applicable,Not Applicable,8.75188E+11,4530974.366,801413.2366,0.979874822,0.009401462,0.010723716,0.977416873,0.015864112,0.006719015,0.006421191,6.15664016331905e-06,0.988109854,0.001499556,0.003963242
89,Land,State,CPV,CPV,Cabo Verde,Cabo Verde,4451226061,1144542.658,4132.000718,0.677834792,0.045163002,0.277002206,0.754218495,0.000399561,0.245381944,0.137589315,0.002386636,0.646051031,NA,0.213973018
90,EEZ,200NM,CRI,CRI,Not Applicable,Not Applicable,5.86049E+11,5605850.036,572937.5324,0.896442605,0.001441134,0.102116261,0.988386176,0.000619458,0.010994365,0.00242998,4.26989432229965e-05,0.902818563,0.000335208,0.094373551
91,Land,State,CRI,CRI,Costa Rica,Costa Rica,53063305400,2944567.639,51181.09991,0.208808864,0.12329036,0.667900777,0.316986955,0.132373707,0.550639338,0.055884945,0.003981273,0.720639843,0.055430902,0.164063037
92,EEZ,Joint regime,CRI,CRI; ECU,Not Applicable,Not Applicable,17511488327,1048188.567,17331.97548,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA
93,EEZ,200NM,CUB,CUB,Not Applicable,Not Applicable,4.09777E+11,18982890.76,352767.3347,0.903357001,0.012764786,0.083878213,0.886850997,0.026534305,0.086614698,0.020566409,0.000139549,0.974974479,0.000259158,0.004060405
94,Land,State,CUB,CUB,Cuba,Cuba,1.28773E+11,15114205.96,110417.0121,0.000741347,2.15210466233047e-05,0.999237132,0.504257807,0.262656686,0.233085507,0.000683829,2.15210466233047e-05,0.232466832,0.262627529,0.504200289
95,EEZ,200NM,CYP,CYP,Not Applicable,Not Applicable,1.4531E+11,2520973.846,98439.28305,0.984006033,0.008225076,0.007768891,0.992127529,0.005142996,0.002729475,0.00067641,0.000228486,0.985387989,0.004909209,0.008797906
96,Land,State,CYP,CYP,Cyprus,Cyprus,13859893769,883377.9499,9332.726839,0.373723488,0.192244042,0.43403247,0.695403721,0.081503475,0.223092804,0.01021446,0.083239048,0.513330883,0.061320916,0.331894693
